text,x0,x1,doctop,bottom,label
7.0,171.0518,182.7278,99.27299999999993,105.27299999999993,-1
0.3,277.417,289.093,99.7992999999999,105.7992999999999,0
0.23,277.417,289.093,107.79729999999996,113.79729999999996,0
0.18,277.417,289.093,115.7953,121.7953,0
0.5,239.5161,251.1921,149.72609999999997,155.72609999999997,-1
4.25,362.0039,373.6799,157.8311,163.8311,1
4.1,362.0039,373.6799,165.82910000000004,171.82910000000004,1
3.95,362.0039,373.6799,173.8271000000001,179.8271000000001,1
0.45,238.2754,249.9514,209.14059999999995,215.14059999999995,2
0.2,371.4149,383.0909,209.827,215.827,-1
0.4,238.2754,249.9514,217.1386,223.1386,2
0.35,238.2754,249.9514,225.13660000000004,231.13660000000004,2
0.8,103.2739,114.9499,231.49069999999995,237.49069999999995,3
0.75,103.2739,114.9499,239.4887,245.4887,3
0.05,248.1509,259.8269,243.66699999999992,249.66699999999992,-1
0.7,103.2739,114.9499,247.48670000000004,253.48670000000004,3
0.02,248.1509,259.8269,251.665,257.665,-1
0.08,268.3978,280.07379999999995,265.21629999999993,271.21629999999993,-1
0.2,236.2236,247.8996,272.17729999999995,278.17729999999995,-1
